جدول مناوبات صيدلية دار الشفاء - الأسبوع من 2026/09/19 إلى 2026/09/25,,,,,,,
,,,,,,,
الموظف,السبت,الأحد,الاثنين,الثلاثاء,الأربعاء,الخميس,الجمعة
د. أحمد الزهراني,ص,ص,م,م,ص,إجازة,م
د. نورة القحطاني,م,م,ص,ص,م,ص,إجازة
د. خالد العتيبي,إجازة,ل,ل,ل,إجازة,م,ص
محمد الشهري (فني),ص,ص,ص,إجازة,م,م,م
سارة الدوسري (كاشير),م,إجازة,م,م,ص,ص,ص
عبدالله المطيري (فني),ل,ل,إجازة,ص,ص,ل,ل
ريم الحربي (كاشير),ص,م,ص,م,إجازة,م,ص
,,,,,,,
ص = صباحي (8:00 - 16:00),,,,,,,
م = مسائي (16:00 - 24:00),,,,,,,
ل = ليلي (24:00 - 8:00),,,,,,,
ملاحظة: أي تبديل في المناوبات يكون بموافقة مدير الصيدلية,,,,,,,
