"होटल सूर्या पैलेस, जयपुर — कर्मचारी सूची",,,,,
क्र.सं.,नाम,पद,विभाग,मोबाइल,ज्वाइनिंग तिथि
1,राजेश कुमार शर्मा,महाप्रबंधक,प्रशासन,98290 12345,01/04/2015
2,सुनीता देवी,रिसेप्शनिस्ट,फ्रंट ऑफिस,+91 94140 56789,15/06/2019
3,मोहम्मद आसिफ़,मुख्य रसोइया (शेफ),रसोई,9887012345,10/01/2018
4,प्रिया वर्मा,रिसेप्शनिस्ट,फ्रंट ऑफिस,98282 34567,01/08/2022
5,अमित सिंह राठौड़,लेखाकार,प्रशासन,9414123456,05-03-2020
6,रमेश यादव,वेटर,रेस्टोरेंट,77370 12345,20/11/2021
7,पूजा गुप्ता,हाउसकीपिंग सुपरवाइज़र,हाउसकीपिंग,8003456789,०१/०७/२०२४
8,विकास मिश्रा,सहायक रसोइया,रसोई,9001234567,12/02/2023
9,अंजलि पटेल,हाउसकीपिंग स्टाफ,हाउसकीपिंग,63771 23456,03/10/2024
10,संजय चौहान,सुरक्षा गार्ड,सुरक्षा,9636123456,18/05/2017
11,दीपक जोशी,ड्राइवर,परिवहन,+91-98299-98877,25/12/2020
12,गीता कुमारी,वेटर,रेस्टोरेंट,7976543210,01/09/2025
