Таб. №;Фамилия;Имя;Отчество;Должность;Подразделение;Дата приёма;Телефон;E-mail
0001;Кузнецов;Андрей;Викторович;Директор;Администрация;01.03.2016;+7 (912) 345-67-89;a.kuznetsov@avtomaster-ekb.ru
0002;Смирнова;Ольга;Петровна;Главный бухгалтер;Бухгалтерия;15.05.2017;+7 (912) 204-11-35;o.smirnova@avtomaster-ekb.ru
0003;Попов;Дмитрий;Сергеевич;Мастер-приёмщик;Сервисная зона;10.01.2019;8 (922) 118-40-72;d.popov@avtomaster-ekb.ru
0004;Васильев;Игорь;Николаевич;Автослесарь;Ремонтная зона;03.06.2019;8 (950) 631-22-08;
0005;Каримов;Рустам;;Автослесарь;Ремонтная зона;21.09.2020;8 (982) 700-15-43;
0006;Новикова;Елена;Андреевна;Администратор;Администрация;12.04.2021;+7 (343) 287-40-10;info@avtomaster-ekb.ru
0007;Фёдоров;Павел;Олегович;Автоэлектрик;Ремонтная зона;01.11.2021;8 (912) 660-81-17;
0008;Волков;Сергей;Игоревич;Шиномонтажник;Шиномонтаж;17.03.2022;8 (908) 915-33-61;
0009;Лебедева;Наталья;Викторовна;Кассир;Администрация;05.09.2022;8 (919) 382-54-26;n.lebedeva@avtomaster-ekb.ru
0010;Соколов;Артём;Дмитриевич;Автомаляр;Кузовной цех;14.02.2023;8 (996) 172-09-90;
0011;Михайлов;Константин;Юрьевич;Слесарь-моторист;Ремонтная зона;28.08.2024;8 (922) 451-73-02;
0012;Козлова;Анна;Сергеевна;Менеджер по закупкам;Склад;02.06.2025;8 (912) 239-60-15;a.kozlova@avtomaster-ekb.ru
;;;;;;;;
;Итого: 12;;;;;;;
